"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 00:34:15 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.14",""
"passed","Fri Oct 04 00:37:37 GMT 2024","Fri Oct 04 00:37:37 GMT 2024","4","","SYNTH-BUFFER","","SYNTH-BUFFER","","TIME-SYNTHESIZE-SHORT.03",""
"failed","Fri Oct 04 01:18:18 GMT 2024","Fri Oct 04 01:18:18 GMT 2024","402","","HOL","","HOL","","NATSIMPLETEST.04",""
"passed","Fri Oct 04 00:34:10 GMT 2024","Fri Oct 04 00:34:14 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","multidirectional.append",""
"passed","Fri Oct 04 01:47:00 GMT 2024","Fri Oct 04 01:47:00 GMT 2024","2","","DIRECT-COMP","","DIRECT-COMP","","00A-LANG-COMPILED-CASE.06",""
"passed","Fri Oct 04 01:48:27 GMT 2024","Fri Oct 04 01:48:27 GMT 2024","3","","WALK-THRU","","WALK-THRU","","TMPMATCH2.01",""
"passed","Fri Oct 04 00:34:10 GMT 2024","Fri Oct 04 00:34:14 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.string-tests",""
"passed","Fri Oct 04 00:35:49 GMT 2024","Fri Oct 04 00:35:49 GMT 2024","7","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-INTERSECTION-TESTS.03",""
"passed","Fri Oct 04 00:52:02 GMT 2024","Fri Oct 04 00:52:02 GMT 2024","1","","SPACES","","SPACES","","ADD-REMOVE-MATCH-INTEGER.22",""
"failed","Fri Oct 04 00:54:05 GMT 2024","Fri Oct 04 00:54:05 GMT 2024","25","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.26",""
"failed","Fri Oct 04 01:25:56 GMT 2024","Fri Oct 04 01:25:56 GMT 2024","16","","SYNTHESIS","","SYNTHESIS","","UNIFYTEST.02",""
"passed","Fri Oct 04 00:54:16 GMT 2024","Fri Oct 04 00:54:16 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-2.04",""
"failed","Fri Oct 04 00:44:32 GMT 2024","Fri Oct 04 00:44:33 GMT 2024","1251","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS1.02",""
"failed","Fri Oct 04 01:18:13 GMT 2024","Fri Oct 04 01:18:13 GMT 2024","43","","FORWARD-CHAINING","","FORWARD-CHAINING","","FC-XP.13",""
"passed","Fri Oct 04 02:03:21 GMT 2024","Fri Oct 04 02:03:21 GMT 2024","2","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT-3.12",""
"passed","Fri Oct 04 00:34:15 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.11",""
"passed","Fri Oct 04 00:39:47 GMT 2024","Fri Oct 04 00:39:47 GMT 2024","1","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SUPERCOLLAPSE.04",""
"passed","Fri Oct 04 01:11:27 GMT 2024","Fri Oct 04 01:11:27 GMT 2024","3","","CHECK-TYPES","","CHECK-TYPES","","D2-HIGHERFUNC.19",""
"failed","Fri Oct 04 01:14:07 GMT 2024","Fri Oct 04 01:14:07 GMT 2024","54","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","DEDUCTIONDTLTEST.01",""
"passed","Fri Oct 04 01:18:18 GMT 2024","Fri Oct 04 01:18:18 GMT 2024","2","","HOL","","HOL","","NATPARITYTEST.11",""
"failed","Fri Oct 04 01:18:18 GMT 2024","Fri Oct 04 01:18:18 GMT 2024","341","","HOL","","HOL","","NATSTANDALONETEST.14",""
"passed","Fri Oct 04 00:44:04 GMT 2024","Fri Oct 04 00:44:04 GMT 2024","2","","QUICK","","QUICK","","C1-GROUNDED-BASIC.18",""
"passed","Fri Oct 04 00:34:10 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.superpose_nested",""
"failed","Fri Oct 04 01:26:00 GMT 2024","Fri Oct 04 01:26:00 GMT 2024","266","","EXPERIMENTS","","EXPERIMENTS","","SYNTHESIZE-VIA-CASE-TEST.10",""
"passed","Fri Oct 04 00:52:02 GMT 2024","Fri Oct 04 00:52:02 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-S-SYMBOLS.11",""
"passed","Fri Oct 04 00:39:47 GMT 2024","Fri Oct 04 00:39:47 GMT 2024","2","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","HYPERPOSE.01",""
"passed","Fri Oct 04 01:24:09 GMT 2024","Fri Oct 04 01:24:09 GMT 2024","2","","POLYWARD-CHAINING","","POLYWARD-CHAINING","","PC-XP.13",""
"passed","Fri Oct 04 01:15:30 GMT 2024","Fri Oct 04 01:15:30 GMT 2024","4","","COMMON","","COMMON","","NUMTEST.03",""
"passed","Fri Oct 04 01:03:43 GMT 2024","Fri Oct 04 01:03:43 GMT 2024","204","","PROB-DEP-TYPES","","PROB-DEP-TYPES","","INF-ORDER-PROBS.01",""
"passed","Fri Oct 04 00:34:15 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.27",""
"failed","Fri Oct 04 00:54:05 GMT 2024","Fri Oct 04 00:54:05 GMT 2024","161","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.21",""
"passed","Fri Oct 04 00:34:15 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B1-EQUAL-CHAIN.06",""
"passed","Fri Oct 04 00:52:02 GMT 2024","Fri Oct 04 00:52:02 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-SS-SYMBOLS.03",""
"passed","Fri Oct 04 00:39:47 GMT 2024","Fri Oct 04 00:39:47 GMT 2024","1","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.06",""
"passed","Fri Oct 04 01:15:15 GMT 2024","Fri Oct 04 01:15:15 GMT 2024","3","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.31",""
"passed","Fri Oct 04 00:34:10 GMT 2024","Fri Oct 04 00:34:27 GMT 2024","17000","","WHOLE-TESTS","","WHOLE-TESTS","","nondet_unify.run",""
"passed","Fri Oct 04 01:17:41 GMT 2024","Fri Oct 04 01:17:41 GMT 2024","3","","ENTAIL","","ENTAIL","","IMPLICATIONDIRECTINTRODUCTIONENTAILTEST.02",""
"passed","Fri Oct 04 00:44:04 GMT 2024","Fri Oct 04 00:44:04 GMT 2024","2","","QUICK","","QUICK","","D2-HIGHERFUNC.06",""
"failed","Fri Oct 04 01:08:23 GMT 2024","Fri Oct 04 01:08:23 GMT 2024","167","","TRAVERSER","","TRAVERSER","","CREATION.01",""
"passed","Fri Oct 04 01:43:06 GMT 2024","Fri Oct 04 01:43:06 GMT 2024","3","","PREV","","PREV","","TESTS0.05",""
"passed","Fri Oct 04 00:34:10 GMT 2024","Fri Oct 04 00:34:14 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","experiments.unify-via-let",""
"passed","Fri Oct 04 01:48:27 GMT 2024","Fri Oct 04 01:48:27 GMT 2024","2","","WALK-THRU","","WALK-THRU","","IMPL-METTALOGTESTCURRIED.06",""
"passed","Fri Oct 04 00:54:16 GMT 2024","Fri Oct 04 00:54:16 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-1.03",""
"failed","Fri Oct 04 00:54:16 GMT 2024","Fri Oct 04 00:54:16 GMT 2024","14","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-4.17",""
"passed","Fri Oct 04 01:07:42 GMT 2024","Fri Oct 04 01:07:42 GMT 2024","2","","STRIPS-TO-METTA-IMPROVED","","STRIPS-TO-METTA-IMPROVED","","QUERIES.02",""
"failed","Fri Oct 04 01:21:27 GMT 2024","Fri Oct 04 01:21:27 GMT 2024","45","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.36",""
"passed","Fri Oct 04 00:34:15 GMT 2024","Fri Oct 04 00:34:15 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","F1-MODULEA.01",""
"passed","Fri Oct 04 01:11:27 GMT 2024","Fri Oct 04 01:11:27 GMT 2024","2","","CHECK-TYPES","","CHECK-TYPES","","D2-HIGHERFUNC.16",""
"passed","Fri Oct 04 01:21:27 GMT 2024","Fri Oct 04 01:21:27 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.07",""
"passed","Fri Oct 04 01:54:50 GMT 2024","Fri Oct 04 01:54:50 GMT 2024","2","","MULTIDIRECTIONAL","","MULTIDIRECTIONAL","","APPEND.04",""
"passed","Fri Oct 04 01:11:07 GMT 2024","Fri Oct 04 01:11:07 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.32",""
"passed","Fri Oct 04 01:18:02 GMT 2024","Fri Oct 04 01:18:02 GMT 2024","3","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-TEST.14",""
