"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8000","comparisons.nils_if_control_test_5","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:27 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","BC-XP.25","","Tue Nov 12 01:13:26 GMT 2024","passed","Tue Nov 12 01:13:26 GMT 2024","","BACKWARD-CHAINING","BACKWARD-CHAINING",""
"","5","ADD-REMOVE-MATCH-MIX-FLOAT-INTEGER.30","","Tue Nov 12 00:50:28 GMT 2024","passed","Tue Nov 12 00:50:28 GMT 2024","","SPACES","SPACES",""
"","1","INTERSECTION-TESTS.19","","Tue Nov 12 00:35:03 GMT 2024","passed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","HYPERPOSING-UNSHARED.05","","Tue Nov 12 01:55:07 GMT 2024","passed","Tue Nov 12 01:55:07 GMT 2024","","BASIC","BASIC",""
"","3","HIGHER-ORDER-FUNCS.09","","Tue Nov 12 00:51:09 GMT 2024","passed","Tue Nov 12 00:51:09 GMT 2024","","STD","STD",""
"","6","V2-PLN-XP.03","","Tue Nov 12 00:48:11 GMT 2024","passed","Tue Nov 12 00:48:11 GMT 2024","","CHAINING","CHAINING",""
"","229","INF-CTL-MONTH-BC-CONT-XP.19","","Tue Nov 12 01:17:31 GMT 2024","failed","Tue Nov 12 01:17:31 GMT 2024","","INFERENCE-CONTROL","INFERENCE-CONTROL",""
"","108","SPACE-INTERSECTION-TESTS.10","","Tue Nov 12 00:35:03 GMT 2024","failed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","70","OBIF-CLP.01","","Tue Nov 12 01:52:50 GMT 2024","failed","Tue Nov 12 01:52:50 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","2","HYPERPOSE.09","","Tue Nov 12 00:38:57 GMT 2024","passed","Tue Nov 12 00:38:57 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","TYPE-PROP.34","","Tue Nov 12 01:09:13 GMT 2024","passed","Tue Nov 12 01:09:13 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","2","STRING-TESTS.06","","Tue Nov 12 00:35:03 GMT 2024","passed","Tue Nov 12 00:35:03 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","HIGHER-ORDER-FUNCS.03","","Tue Nov 12 00:51:09 GMT 2024","passed","Tue Nov 12 00:51:09 GMT 2024","","STD","STD",""
"","3","STDLIB-METTALOG-TEST-PT2.70","","Tue Nov 12 00:52:34 GMT 2024","passed","Tue Nov 12 00:52:34 GMT 2024","","STDLIB-METTALOG","STDLIB-METTALOG",""
"","2","D2-HIGHERFUNC.23","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","111","USE-TWO-SERVERS.02","","Tue Nov 12 01:50:57 GMT 2024","failed","Tue Nov 12 01:50:57 GMT 2024","","DISTRIBUTED-PROCESSING","DISTRIBUTED-PROCESSING",""
"","1","KEY-LOOKUPS-MANY.12","","Tue Nov 12 01:55:07 GMT 2024","passed","Tue Nov 12 01:55:07 GMT 2024","","BASIC","BASIC",""
"","2","TYPES-PRELIM.14","","Tue Nov 12 00:48:11 GMT 2024","passed","Tue Nov 12 00:48:11 GMT 2024","","CHAINING","CHAINING",""
"","2","D1-GADT.06","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","2","D4-TYPE-PROP.07","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
"","6000","entail.ImplicationDirectIntroductionEntailTest","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:25 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","STDLIB-METTALOG-TEST-PT2.40","","Tue Nov 12 00:52:34 GMT 2024","passed","Tue Nov 12 00:52:34 GMT 2024","","STDLIB-METTALOG","STDLIB-METTALOG",""
"","5000","hyperon-experimental_scripts.f1_imports","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","96","SUBTYPING-TEST.05","","Tue Nov 12 01:22:18 GMT 2024","failed","Tue Nov 12 01:22:18 GMT 2024","","SUBTYPING","SUBTYPING",""
"","3","COMMA-IS-NOT-SPECIAL.01","","Tue Nov 12 01:46:34 GMT 2024","passed","Tue Nov 12 01:46:34 GMT 2024","","WALK-THRU","WALK-THRU",""
"","177","IOIOIOI-USING-EQUALITY.01","","Tue Nov 12 01:52:50 GMT 2024","failed","Tue Nov 12 01:52:50 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","3","FORWARD-CHAINER-XP.26","","Tue Nov 12 01:16:06 GMT 2024","passed","Tue Nov 12 01:16:06 GMT 2024","","FORWARD-CHAINER","FORWARD-CHAINER",""
"","106","B4-NONDETERM.10","","Tue Nov 12 00:33:24 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","IOIOIOI.04","","Tue Nov 12 01:52:50 GMT 2024","passed","Tue Nov 12 01:52:50 GMT 2024","","MULTIDIRECTIONAL","MULTIDIRECTIONAL",""
"","2","C1-GROUNDED-BASIC.18","","Tue Nov 12 00:43:18 GMT 2024","passed","Tue Nov 12 00:43:18 GMT 2024","","QUICK","QUICK",""
"","5000","anti-regression.comma_is_not_special","","Tue Nov 12 00:33:19 GMT 2024","passed","Tue Nov 12 00:33:24 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","9","TYPE-PROP.03","","Tue Nov 12 01:09:13 GMT 2024","passed","Tue Nov 12 01:09:13 GMT 2024","","CHECK-TYPES-TEMP","CHECK-TYPES-TEMP",""
"","2","DEFINE-IF-LIKE.06","","Tue Nov 12 01:45:06 GMT 2024","passed","Tue Nov 12 01:45:06 GMT 2024","","DIRECT-COMP","DIRECT-COMP",""
"","2","DEFINE-IF-LIKE.03","","Tue Nov 12 01:45:06 GMT 2024","passed","Tue Nov 12 01:45:06 GMT 2024","","DIRECT-COMP","DIRECT-COMP",""
"","46000","prev.tests2","","Tue Nov 12 00:33:19 GMT 2024","failed","Tue Nov 12 00:34:05 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","D2-HIGHERFUNC.10","","Tue Nov 12 01:09:33 GMT 2024","passed","Tue Nov 12 01:09:33 GMT 2024","","CHECK-TYPES","CHECK-TYPES",""
